table,ground_truth
"Identifier,Beta
IJvvdki-342,-1085.630603
,997.345447
","{""num_rows"": 2, ""num_columns"": 2, ""column_types"": {""Identifier"": ""str"", ""Beta"": ""float""}, ""column_max"": {""Identifier"": null, ""Beta"": 997.345447}, ""column_min"": {""Identifier"": null, ""Beta"": -1085.630603}, ""identifier_first"": ""IJvvdki-342"", ""identifier_last"": """", ""identifier_shortest"": """"}"
"Alpha,Identifier
-2237,EqEcXtvH
3435,
","{""num_rows"": 2, ""num_columns"": 2, ""column_types"": {""Alpha"": ""int"", ""Identifier"": ""str""}, ""column_max"": {""Alpha"": 3435.0, ""Identifier"": null}, ""column_min"": {""Alpha"": -2237.0, ""Identifier"": null}, ""identifier_first"": ""EqEcXtvH"", ""identifier_last"": """", ""identifier_shortest"": """"}"
"Alpha,Identifier
QAxGcWPlU,vbmLfOxawo
FQq,
vvJz,EljICyWD-138
","{""num_rows"": 3, ""num_columns"": 2, ""column_types"": {""Alpha"": ""str"", ""Identifier"": ""str""}, ""column_max"": {""Alpha"": null, ""Identifier"": null}, ""column_min"": {""Alpha"": null, ""Identifier"": null}, ""identifier_first"": ""vbmLfOxawo"", ""identifier_last"": ""EljICyWD-138"", ""identifier_shortest"": """"}"
"Alpha,Identifier
AagNeGwTffBa,OkAeTRjxQ-81
IyeISOzbuqEcWJ,
","{""num_rows"": 2, ""num_columns"": 2, ""column_types"": {""Alpha"": ""str"", ""Identifier"": ""str""}, ""column_max"": {""Alpha"": null, ""Identifier"": null}, ""column_min"": {""Alpha"": null, ""Identifier"": null}, ""identifier_first"": ""OkAeTRjxQ-81"", ""identifier_last"": """", ""identifier_shortest"": """"}"
"Alpha,Identifier
dViDQbwC,
VVUTQCtBYXbkHuH,nuqzc
","{""num_rows"": 2, ""num_columns"": 2, ""column_types"": {""Alpha"": ""str"", ""Identifier"": ""str""}, ""column_max"": {""Alpha"": null, ""Identifier"": null}, ""column_min"": {""Alpha"": null, ""Identifier"": null}, ""identifier_first"": """", ""identifier_last"": ""nuqzc"", ""identifier_shortest"": """"}"
"Identifier,Beta
ufvJIiZI-924,-4336
,-9058
","{""num_rows"": 2, ""num_columns"": 2, ""column_types"": {""Identifier"": ""str"", ""Beta"": ""int""}, ""column_max"": {""Identifier"": null, ""Beta"": -4336.0}, ""column_min"": {""Identifier"": null, ""Beta"": -9058.0}, ""identifier_first"": ""ufvJIiZI-924"", ""identifier_last"": """", ""identifier_shortest"": """"}"
"Identifier,Beta
,eshqG M
QAuwnX,dydLytg
Wm lyZdAyG-947,KWTupPCrC
","{""num_rows"": 3, ""num_columns"": 2, ""column_types"": {""Identifier"": ""str"", ""Beta"": ""str""}, ""column_max"": {""Identifier"": null, ""Beta"": null}, ""column_min"": {""Identifier"": null, ""Beta"": null}, ""identifier_first"": """", ""identifier_last"": ""Wm lyZdAyG-947"", ""identifier_shortest"": """"}"
"Identifier,Beta
,-7106
juxoMcDG,-6675
XsTLauUy-910,4944
","{""num_rows"": 3, ""num_columns"": 2, ""column_types"": {""Identifier"": ""str"", ""Beta"": ""int""}, ""column_max"": {""Identifier"": null, ""Beta"": 4944.0}, ""column_min"": {""Identifier"": null, ""Beta"": -7106.0}, ""identifier_first"": """", ""identifier_last"": ""XsTLauUy-910"", ""identifier_shortest"": """"}"
"Alpha,Beta
236.34688,-617.836008
-463.358276,1804.457889
-1731.973054,-965.550026
","{""num_rows"": 3, ""num_columns"": 2, ""column_types"": {""Alpha"": ""float"", ""Beta"": ""float""}, ""column_max"": {""Alpha"": 236.34688, ""Beta"": 1804.457889}, ""column_min"": {""Alpha"": -1731.973054, ""Beta"": -965.550026}, ""identifier_first"": null, ""identifier_last"": null, ""identifier_shortest"": null}"
"Alpha,Identifier
kWVHmtFDos,
,BHwjFimnp
","{""num_rows"": 2, ""num_columns"": 2, ""column_types"": {""Alpha"": ""str"", ""Identifier"": ""str""}, ""column_max"": {""Alpha"": null, ""Identifier"": null}, ""column_min"": {""Alpha"": null, ""Identifier"": null}, ""identifier_first"": """", ""identifier_last"": ""BHwjFimnp"", ""identifier_shortest"": """"}"
